,NR_experienced_on_request,no_of_supercats_tried_last_30d,no_of_supercats_tried_last_90d,no_of_supercats_tried_last_365d,no_of_deliveries_last_30d,no_of_deliveries_last_90d,no_of_deliveries_last_365d,service_deliverd_aov_last_30d,service_deliverd_aov_last_90d,service_deliverd_aov_last_365d,most_deliverd_supercat,income_segment,gender,user_state_platform,days_on_platform,NR_experienced_last_365d,revenues_next_6_months,request_id
35714,1,3.0,4.0,4.0,4.0,7.0,12.0,979.5,1093.142857142857,1074.25,Salon at Home,,Female,ENGAGED,1343.0,0.0,16999.0,463ce925-ccf8-4eef-a5fa-cb57b4429f53
141350,0,0.0,1.0,1.0,0.0,1.0,4.0,,567.0,1200.0,EPC,,Male,RESURRECTED,539.0,0.0,1476.0,e8ecf696-dec7-4da3-93aa-ddf0a2632e26
81881,1,2.0,5.0,6.0,2.0,9.0,37.0,875.5,903.7777777777778,1020.4324324324324,Salon at Home,25lac +,Female,ENGAGED,1555.0,2.0,23343.0,ebcc3495-0b0a-445f-9c56-ecf752916f96
158946,0,0.0,1.0,4.0,0.0,3.0,9.0,,359.6666666666667,601.1111111111111,EPC,10 lac - 15lac,Male,ENGAGED,1079.0,0.0,2142.0,609daaeb-c29f-4ac0-b3a8-2e243e521b2d
195860,0,1.0,1.0,1.0,1.0,2.0,3.0,1076.0,1261.5,1495.0,Salon at Home,,Female,ENGAGED,101.0,0.0,178.0,966c2d43-8c92-43e6-b7d6-f91ab5f9f7b2
163603,0,2.0,3.0,8.0,4.0,6.0,21.0,3390.5,3392.8333333333335,2570.6666666666665,EPC,Na,Female,ENGAGED,908.0,2.0,47582.0,6aa42a5a-60cb-4440-bb54-953f55a171c9
15813,1,2.0,3.0,5.0,4.0,11.0,21.0,378.0,319.8181818181818,434.8095238095238,EPC,15lac - 25lac,Unknown,ENGAGED,1218.0,4.0,10168.0,4605a4e0-b0ca-4430-b620-31a3336c5454
160704,0,0.0,1.0,2.0,0.0,1.0,2.0,,788.0,1918.5,AC Service and Repair,25lac +,Male,RESURRECTED,271.0,0.0,7996.0,0061ba0f-bf8c-4d23-b720-db2c6bf955b0
187633,0,0.0,0.0,2.0,0.0,0.0,7.0,,,1311.857142857143,Salon at Home,,Female,DORMANT,1351.0,0.0,1145.0,00d1e107-be0a-4d50-82b7-1c96cbf4e85b
76872,1,,,,,,,,,,,,Male,,,0.0,847.0,cab2c883-c3d0-4210-89b2-a75b114670be
103988,0,0.0,3.0,6.0,0.0,4.0,19.0,,660.5,1046.2631578947369,Mens Grooming,,Male,ENGAGED,840.0,3.0,3681.0,bdb0345d-bc9a-45a2-b067-9587d5106649
85204,1,1.0,2.0,4.0,1.0,4.0,9.0,298.0,410.75,581.4444444444445,Mens Grooming,,Male,ENGAGED,1291.0,0.0,1045.0,25dad092-61d9-4806-98d1-dfb0a38d806f
74384,1,,,,,,,,,,,,Male,,,0.0,996.0,5a4e7df8-2f19-44c2-9192-c2ac9b972b7d
